2026-04-26 13:39:56.918 INFO pid=42332 tid=42335 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:19103
2026-04-26 13:39:56.918 INFO pid=42332 tid=42336 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:19101
2026-04-26 13:39:56.918 INFO pid=42332 tid=42337 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:19103
2026-04-26 13:39:56.919 INFO pid=42332 tid=42338 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:19101
2026-04-26 13:39:56.929 INFO pid=42332 tid=42334 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:19102
2026-04-26 13:39:56.929 INFO pid=42332 tid=42339 tname=rpc-channel-io rpc_channel.cpp:150 onConnection | rpc channel connected peer=127.0.0.1:19102
2026-04-26 13:39:57.021 INFO pid=42332 tid=42343 tname=raft-main raft_node.cpp:232 BecomeCandidate | become Candidate term=2
2026-04-26 13:39:57.021 INFO pid=42332 tid=42345 tname=raft-main raft_node.cpp:209 BecomeFollower | become Follower term=2 leader=-1
2026-04-26 13:39:57.021 INFO pid=42332 tid=42341 tname=raft-main raft_node.cpp:209 BecomeFollower | become Follower term=2 leader=-1
2026-04-26 13:39:57.021 INFO pid=42332 tid=42343 tname=raft-main raft_node.cpp:313 BecomeLeader | become Leader term=2 last_index=0
2026-04-26 13:39:57.120 INFO pid=42332 tid=42332 tname=smoke-main raft_node_smoke.cpp:130 main | leader emerged: node=1 term=2
2026-04-26 13:39:57.221 INFO pid=42332 tid=42332 tname=smoke-main raft_node_smoke.cpp:175 main | node=0 committed_up_to=3
2026-04-26 13:39:57.221 INFO pid=42332 tid=42332 tname=smoke-main raft_node_smoke.cpp:175 main | node=1 committed_up_to=3
2026-04-26 13:39:57.221 INFO pid=42332 tid=42332 tname=smoke-main raft_node_smoke.cpp:175 main | node=2 committed_up_to=3
2026-04-26 13:39:57.221 INFO pid=42332 tid=42332 tname=smoke-main raft_node_smoke.cpp:181 main | OK: leader=1 term=2 all 3 commands committed on every node
2026-04-26 13:39:57.221 INFO pid=42332 tid=42332 tname=smoke-main raft_node.cpp:101 Stop | raft node stopped self_id=0
2026-04-26 13:39:57.221 INFO pid=42332 tid=42332 tname=smoke-main raft_node.cpp:101 Stop | raft node stopped self_id=1
2026-04-26 13:39:57.221 INFO pid=42332 tid=42332 tname=smoke-main raft_node.cpp:101 Stop | raft node stopped self_id=2
